app_name,concurrency,total,max,min,mean,rps,error
fastapi,100,0.20927906036376953,0.1962130069732666,0.09695887565612793,0.15241814136505127,477.8308915673631,0
fastapi,200,0.3348352909088135,0.3038959503173828,0.055770158767700195,0.18704033493995667,597.3086034544265,0
fastapi,300,0.5021860599517822,0.4559061527252197,0.04431486129760742,0.2589431087176005,597.3881473906399,0
fastapi,400,0.6576361656188965,0.60201096534729,0.05043196678161621,0.33841446340084075,608.2390551370651,0
fastapi,500,1.069284200668335,0.9844481945037842,0.0652320384979248,0.4754151744842529,467.6025323178673,0
fastapi,600,1.0270888805389404,0.9440128803253174,0.1612558364868164,0.528048286040624,584.1753438954224,0
fastapi,700,1.1151180267333984,0.9677660465240479,0.1111752986907959,0.5130160662106106,627.7362424590733,0
fastapi,800,1.3042137622833252,1.1772270202636719,0.09813404083251953,0.6262457969784737,613.3963795930329,0
fastapi,900,1.5275838375091553,1.409585952758789,0.10733604431152344,0.7171134789784749,589.1656993880744,0
fastapi,1000,1.7036032676696777,1.4808509349822998,0.13937830924987793,0.7908125250339508,586.9911257964881,0
fastapi,1100,1.9301481246948242,1.7671570777893066,0.15993285179138184,0.9317792402614247,569.9044471905082,0
fastapi,1200,2.023634910583496,1.8751459121704102,0.1290748119354248,0.9723832031091054,592.992339539147,0
fastapi,1300,2.3008718490600586,2.0677430629730225,0.19209909439086914,1.076147991327139,565.0032184674127,0
fastapi,1400,2.7406201362609863,2.264371871948242,0.34105706214904785,1.3122211519309452,510.8332896911473,0
fastapi,1500,2.9114859104156494,2.5270161628723145,0.30519986152648926,1.3840679216384888,515.2008445700694,0
fastapi,1600,2.8025717735290527,2.4787168502807617,0.2577199935913086,1.340875968337059,570.9042013169386,0
fastapi,1700,3.2408409118652344,2.7230300903320312,0.4388411045074463,1.5502662589970757,524.5552145975538,0
fastapi,1800,3.3072052001953125,2.837692975997925,0.40587472915649414,1.5698746630880567,544.2661979044112,0
fastapi,1900,3.3100008964538574,2.9880599975585938,0.2704598903656006,1.591067950349105,574.0179714257931,0
fastapi,2000,3.471308946609497,3.1880929470062256,0.24992084503173828,1.678179343342781,576.1515413237544,0
django,100,0.3067350387573242,0.29297375679016113,0.17541980743408203,0.22749822616577148,326.01427083495264,0
django,200,0.531419038772583,0.47116613388061523,0.11986613273620605,0.29801943063735964,376.3508369251117,0
django,300,0.7826821804046631,0.7396109104156494,0.11119318008422852,0.4401208225886027,383.29734279231155,0
django,400,1.00838303565979,0.8416500091552734,0.14214706420898438,0.4711352467536926,396.6746621617628,0
django,500,1.2949261665344238,1.182136058807373,0.10154914855957031,0.6541498837471008,386.12240058298966,0
django,600,1.5712840557098389,1.459289789199829,0.1060171127319336,0.7982475713888804,381.8532987843154,0
django,700,1.852410078048706,1.7606370449066162,0.11057686805725098,0.9703240544455392,377.88608920621226,0
django,800,2.108910083770752,1.941331148147583,0.13313889503479004,1.0021741607785224,379.3428682220496,0
django,900,2.457005023956299,2.144155740737915,0.2603600025177002,1.1216667127609252,366.2996173083966,0
django,1000,2.625635862350464,2.4200057983398438,0.18980717658996582,1.2897488005161286,380.8601239567173,0
django,1100,2.8808319568634033,2.6503589153289795,0.18137288093566895,1.3602314322645015,381.83414252237736,0
django,1200,3.259181022644043,2.9310221672058105,0.24638795852661133,1.5515178960561753,368.1906563835132,0
django,1300,3.647562026977539,3.2734017372131348,0.30324816703796387,1.7511060520318837,356.4024382272705,0
django,1400,3.664119005203247,3.4751758575439453,0.17310500144958496,1.8298184629849026,382.08365994988816,0
django,1500,4.102787017822266,3.828115940093994,0.2508671283721924,1.9616975518862407,365.6051346277757,0
django,1600,4.201925039291382,3.9735820293426514,0.21077799797058105,2.0914120419323443,380.7778542069913,0
django,1700,4.601847887039185,4.186537027359009,0.3925912380218506,2.2931364439515507,369.4168172720231,0
django,1800,4.834329128265381,4.578566789627075,0.23732972145080566,2.3722669548458524,372.3370817836441,0
django,1900,5.009373188018799,4.693382978439331,0.2925841808319092,2.441049424723575,379.2889706329601,0
django,2000,5.786916017532349,5.053634881973267,0.6841161251068115,2.8361781821250918,345.60722739723434,0
